project_num,project_name,SowKey
289051,AZ Tile: DEV-CON Site Maintenance (Oct. 2017),
468521,AZ Tile: Non-Billable,
289870,AZ Tile: Non-Billable Work,
377811,AZ Tile: Ongoing App Maintenance,SOW_ Arizona Tile_ Ongoing App Maintenance
495691,AZ Tile: SharePoint Intranet Build,Arizona Tile - SharePoint Intranet Build SOW
285707,AZ Tile: Site Maintenance (Oct. 2017),SOW_ LaneTerralever - Arizona Tile Site Maintenance
386024,AZ Tile: Sitecore Upgrade (8.2 to 9.0),SOW_ Arizona Tile Sitecore 9.0 Upgrade
461192,AZ Tile: Website Rebuild & Commerce Implementation,
493481,AZAG | Traditional PSA - Human Trafficking,
462402,AZB - Ad Hoc Requests,
428816,AZB - Arizona Boardwalk Media 2020,
487304,AZB - Arizona Boardwalk Media 2021,
437775,AZB - Creative Rebrand 2020,
654171,AZB | 2024 Video Refresh,
534166,AZB | Arizona Boardwalk Media 2022,Arizona Boardwalk - 2022 Media Retainer - SOW
589503,AZB | Arizona Boardwalk Media 2023,
650046,AZB | Arizona Boardwalk Media 2024,
206947,AZC - 2017 AZ Cardinals,
292945,AZC - 2018 AZ Cardinals,
56534,AZC - AZ Cardinals,
76465,AZC - BOOKLET UPDATES ~,
642094,AZC | Cardinals Digital Media 2023,
369850,AZCardinals | 2019 Retainer,
437386,AZCardinals | 2020 Retainer,
403345,AZDCS - Brand,
354124,AZDCS - Foster Recruitment,SOW_ LaneTerralever - AZDCS Foster Recruitment
401442,AZDCS - Foster Recruitment 2019-2020,
458497,AZDCS - Foster Recruitment 2020-2021,
513911,AZDCS - Foster Recruitment 2021-2022,
404167,AZDCS - Marketing and Communications 2019-2020,
460008,AZDCS - Marketing and Communications 2020-2021,
513913,AZDCS - Marketing and Communications 2021-2022,
568340,AZDCS - Marketing and Communications 2022-2023,
593477,AZDCS Prevention | Concrete Resources Campaign,
568865,AZDCS | Brain & Trust Phase 2,
527549,AZDCS | Braintrust Data Visibility,
437309,AZDCS | Employee Recruitment,
606484,AZDCS | F&R AZDCS - JULY 2023-JUNE 2024,
639339,AZDCS | Fatherhood Explainer Video 2023,
562089,AZDCS | Foster & Recruitment 2022-2023,
